site_name,location_latitude,location_longitude,heading,ec_timestamp
ship_63,42.466663,18.683332,227.3,2024-04-30 19:32:00.000 +0530
ship_63,42.466663,18.683332,235.7,2024-04-30 19:31:00.000 +0530
ship_63,42.466663,18.683332,249.1,2024-04-30 19:30:00.000 +0530
ship_63,42.466663,18.700001,269.8,2024-04-30 19:29:00.000 +0530
ship_63,42.466663,18.700001,286.8,2024-04-30 19:28:00.000 +0530
ship_36,53.574625,4.787407,25,2024-04-28 05:06:00.000 +0530
ship_36,53.628855,4.82609,25,2024-04-28 05:19:00.000 +0530
ship_36,53.628855,4.82609,25,2024-04-28 05:18:00.000 +0530
ship_36,53.615,4.815,0,2024-04-28 05:17:00.000 +0530
ship_36,53.615,4.815,0,2024-04-28 05:16:00.000 +0530
ship_36,53.615,4.815,0,2024-04-28 05:15:00.000 +0530
ship_36,53.588203,4.797195,25,2024-04-28 05:14:00.000 +0530
ship_24,44.310799,8.487614,233.3,2024-05-02 10:56:00.000 +0530
ship_24,44.310905,8.487716,232.7,2024-05-02 10:55:00.000 +0530
ship_24,44.311089,8.487869,233.1,2024-05-02 10:54:00.000 +0530
ship_24,44.311291,8.488196,232.7,2024-05-02 10:53:00.000 +0530
ship_24,44.311569,8.488607,233.3,2024-05-02 10:52:00.000 +0530
ship_24,44.311832,8.489142,233,2024-05-02 10:51:00.000 +0530
ship_24,44.312206,8.489738,232,2024-05-02 10:50:00.000 +0530
ship_43,17.595,-86.643333,0,2024-04-30 11:35:00.000 +0530
ship_43,17.606667,-86.643333,0,2024-04-30 11:34:00.000 +0530
ship_43,17.595,-86.643333,0,2024-04-30 11:35:00.000 +0530
ship_43,17.62,-86.643333,0,2024-04-30 11:30:00.000 +0530
ship_43,17.631667,-86.643333,0,2024-04-30 11:29:00.000 +0530
